date,lowest
20100101,-11.4
20100102,-5.6
20100103,-7.2
20100104,-3.7
20100105,-10.3
20100106,-12.5
20100107,-10
20100108,-12.7
20100109,-9.8
20100110,-6.5
20100111,-6.8
20100112,-7.9
20100113,-13.4
20100114,-14.4
20100115,-6.4
20100116,-10.7
20100117,-10.5
20100118,-7.8
20100119,-3.8
20100120,3.7
20100121,-5.3
20100122,-6.9
20100123,-7.4
20100124,-5.1
20100125,-5.5
20100126,-8.9
20100127,-6.6
20100128,-1.5
20100129,-5.2
20100130,-4
20100131,-2.9
20100201,-1.8
20100202,-6.7
20100203,-10
20100204,-8.9
20100205,-6.2
20100206,-9.4
20100207,-8.9
20100208,1.8
20100209,3.6
20100210,4.6
20100211,0.8
20100212,-0.1
20100213,-3.8
20100214,-4.7
20100215,-5.1
20100216,-6.6
20100217,-6.6
20100218,-4.5
20100219,-5.7
20100220,-1.7
20100221,-3.4
20100222,-0.1
20100223,-1.6
20100224,0.7
20100225,12.3
20100226,7.1
20100227,4
20100228,3.8
20100301,3.8
20100302,1
20100303,-1.3
20100304,4.9
20100305,4.4
20100306,3.3
20100307,2.4
20100308,0
20100309,-1.7
20100310,-3.3
20100311,-3.4
20100312,1.4
20100313,0.7
20100314,0.8
20100315,3.5
20100316,-1.2
20100317,-3
20100318,-1.4
20100319,-4.2
20100320,4.8
20100321,0.4
20100322,0.8
20100323,2
20100324,4.6
20100325,0.7
20100326,-3.2
20100327,3.7
20100328,2.8
20100329,-1.3
20100330,2.5
20100331,6.4
20100401,2.5
20100402,-0.5
20100403,1.1
20100404,-1.2
20100405,3.5
20100406,3.9
20100407,0.2
20100408,0.4
20100409,5
20100410,7.8
20100411,7.3
20100412,10.2
20100413,2.6
20100414,0.5
20100415,-1.2
20100416,0.6
20100417,0.6
20100418,4.5
20100419,9.5
20100420,10
20100421,7.6
20100422,6.9
20100423,8.1
20100424,4.9
20100425,3.4
20100426,9.8
20100427,5.9
20100428,4.2
20100429,4.6
20100430,7.8
20100501,3.6
20100502,6.1
20100503,16.2
20100504,15.1
20100505,14.6
20100506,9.8
20100507,8.4
20100508,10.5
20100509,12.8
20100510,12.8
20100511,8.2
20100512,8.2
20100513,8.1
20100514,10.3
20100515,11.8
20100516,9
20100517,11.5
20100518,17.5
20100519,15.9
20100520,14.7
20100521,13.9
20100522,14
20100523,14.3
20100524,13.3
20100525,12.9
20100526,13.6
20100527,10.8
20100528,12.8
20100529,14.9
20100530,14
20100531,13.5
20100601,11.2
20100602,11.9
20100603,15.7
20100604,15.5
